model,mean_llm_divergence_rate,mean_flattening_rate,mean_strict_replication_rate,axes_covered
Claude Sonnet 4,0.09316817998915304,0.9068318200108468,0.0,3
GPT-5.2,0.1481481481481481,0.851851851851852,0.0296296296296296,3
Gemini 2.5 Flash,0.18683127572016459,0.8131687242798353,0.04115226337448557,3
