axis,model,mean_delta,min_delta,max_delta
age,Claude Sonnet 4,-0.0111111111111111,-0.0222222222222222,0.0
age,Gemini 2.5 Flash,0.0333333333333333,0.0333333333333333,0.0333333333333333
gender,Claude Sonnet 4,-0.07777777777777775,-0.1333333333333333,-0.0222222222222222
gender,Gemini 2.5 Flash,0.0555555555555555,0.0555555555555555,0.0555555555555555
country,Claude Sonnet 4,-0.03908045977011494,-0.0919540229885057,0.0
country,Gemini 2.5 Flash,0.02,-0.0222222222222222,0.0444444444444445
