model,image_id,delta
GPT-5.2,google_gsv_017007,-0.0891874
GPT-5.2,google_gsv_017020,-0.053565904
GPT-5.2,google_gsv_017025,0.13850188
GPT-5.2,google_gsv_017031,0.045609266
GPT-5.2,google_gsv_017041,-0.0021280348
GPT-5.2,google_gsv_017061,0.0381113
GPT-5.2,google_gsv_017071,0.09240949
GPT-5.2,google_gsv_017073,0.101040885
GPT-5.2,google_gsv_017076,-0.025349408
GPT-5.2,google_gsv_017080,-0.0049009323
GPT-5.2,google_gsv_017085,-0.038397506
GPT-5.2,google_gsv_017086,-0.06116213
GPT-5.2,google_gsv_017092,0.06513719
GPT-5.2,google_gsv_017106,0.06150034
GPT-5.2,google_gsv_017113,-0.021907493
GPT-5.2,google_gsv_017114,0.092209324
GPT-5.2,google_gsv_017116,-0.13797706
GPT-5.2,google_gsv_017120,0.068628296
GPT-5.2,google_gsv_017135,0.0067196935
GPT-5.2,google_gsv_017137,-0.017623082
GPT-5.2,google_gsv_017167,0.049811423
GPT-5.2,google_gsv_017170,0.040042937
GPT-5.2,google_gsv_017181,-0.07282823
GPT-5.2,google_gsv_017190,-0.04225838
GPT-5.2,google_gsv_017226,0.079457924
GPT-5.2,google_gsv_017233,0.05412419
GPT-5.2,google_gsv_017249,0.044179067
GPT-5.2,google_gsv_017252,0.031244218
GPT-5.2,google_gsv_017309,0.0001155138
GPT-5.2,google_gsv_017320,0.03911349
GPT-5.2,google_gsv_017324,-0.11579093
GPT-5.2,google_gsv_017335,0.036390632
GPT-5.2,google_gsv_017346,0.06247458
GPT-5.2,google_gsv_017355,0.08678186
GPT-5.2,google_gsv_017356,0.052183554
GPT-5.2,google_gsv_017390,0.16802308
GPT-5.2,google_gsv_017391,0.0018737167
GPT-5.2,google_gsv_017396,-0.0094064325
GPT-5.2,google_gsv_017409,0.0037663132
GPT-5.2,google_gsv_017465,0.055282712
GPT-5.2,google_gsv_017473,-0.034162074
GPT-5.2,google_gsv_017481,-0.00041103363
GPT-5.2,google_gsv_017485,0.08280839
GPT-5.2,google_gsv_017493,0.0083963275
GPT-5.2,google_gsv_017505,-0.0070387274
GPT-5.2,google_gsv_017510,-0.043713793
GPT-5.2,google_gsv_017529,0.02131109
GPT-5.2,google_gsv_017570,0.08063093
GPT-5.2,google_gsv_017575,0.06869809
GPT-5.2,google_gsv_017579,0.0076766163
GPT-5.2,google_gsv_017581,0.050394922
GPT-5.2,google_gsv_017591,-0.058100417
GPT-5.2,google_gsv_017593,-0.029081054
GPT-5.2,google_gsv_017597,0.030144513
GPT-5.2,google_gsv_017615,-0.061866775
GPT-5.2,google_gsv_017625,0.03574343
GPT-5.2,google_gsv_017646,0.016154766
GPT-5.2,google_gsv_017648,0.003119953
GPT-5.2,google_gsv_017652,0.08664404
GPT-5.2,google_gsv_017653,-0.015633062
GPT-5.2,google_gsv_017665,0.07161833
GPT-5.2,google_gsv_017688,0.11869864
GPT-5.2,google_gsv_017690,0.040092766
GPT-5.2,google_gsv_017708,0.016720906
GPT-5.2,google_gsv_017715,0.03758681
GPT-5.2,google_gsv_017717,0.032450944
GPT-5.2,google_gsv_017773,-0.027298555
GPT-5.2,google_gsv_017777,0.08258764
GPT-5.2,google_gsv_017783,0.026895419
GPT-5.2,google_gsv_017787,-0.15699151
GPT-5.2,google_gsv_017788,-0.02947019
GPT-5.2,google_gsv_017809,-0.087886736
GPT-5.2,google_gsv_017829,-0.056056857
GPT-5.2,google_gsv_017837,-0.061522678
GPT-5.2,google_gsv_017843,0.031614996
GPT-5.2,google_gsv_017860,0.06334801
GPT-5.2,google_gsv_017863,0.069093555
GPT-5.2,google_gsv_017886,0.012197882
GPT-5.2,google_gsv_017888,-0.030776024
GPT-5.2,google_gsv_017900,0.056793645
GPT-5.2,google_gsv_017940,-0.041812763
GPT-5.2,google_gsv_017947,0.013820201
GPT-5.2,google_gsv_017950,-0.050743833
GPT-5.2,google_gsv_017961,-0.059135213
GPT-5.2,google_gsv_017971,0.151074
GPT-5.2,google_gsv_017983,-0.061282262
GPT-5.2,google_gsv_018003,0.02184853
GPT-5.2,google_gsv_018017,0.05402045
GPT-5.2,google_gsv_018021,-0.027277201
GPT-5.2,google_gsv_018023,0.027379513
GPT-5.2,google_gsv_018035,0.005258903
GPT-5.2,google_gsv_018047,-0.0033014864
GPT-5.2,google_gsv_018050,0.023473427
GPT-5.2,google_gsv_018053,-0.08330268
GPT-5.2,google_gsv_018064,-0.005706921
GPT-5.2,google_gsv_018080,0.04562205
GPT-5.2,google_gsv_018087,0.07535061
GPT-5.2,google_gsv_018088,0.029650226
GPT-5.2,google_gsv_018116,0.015501916
GPT-5.2,google_gsv_018117,0.073174864
GPT-5.2,google_gsv_018127,0.08350918
GPT-5.2,google_gsv_018135,0.071143195
GPT-5.2,google_gsv_018137,0.0021261275
GPT-5.2,google_gsv_018163,0.08956806
GPT-5.2,google_gsv_018180,0.04818636
GPT-5.2,google_gsv_018191,-0.013886616
GPT-5.2,google_gsv_018213,-0.0018008351
GPT-5.2,google_gsv_018219,-0.08006224
GPT-5.2,google_gsv_018238,-0.013543427
GPT-5.2,google_gsv_018283,-0.03350623
GPT-5.2,google_gsv_018294,0.092742905
GPT-5.2,google_gsv_018299,0.010058001
GPT-5.2,google_gsv_018308,0.066886604
GPT-5.2,google_gsv_018315,0.054239646
GPT-5.2,google_gsv_018332,-0.085556
GPT-5.2,google_gsv_018340,0.042711705
GPT-5.2,google_gsv_018342,0.002618
GPT-5.2,google_gsv_018345,0.1281239
GPT-5.2,google_gsv_018347,-0.061323866
GPT-5.2,google_gsv_018350,-0.038436905
GPT-5.2,google_gsv_018351,0.10635202
GPT-5.2,google_gsv_018357,-0.10725869
GPT-5.2,google_gsv_018359,-0.069896
GPT-5.2,google_gsv_018381,0.012899056
GPT-5.2,google_gsv_018385,0.048941493
GPT-5.2,google_gsv_018400,-0.06394245
GPT-5.2,google_gsv_018402,-0.009883657
GPT-5.2,google_gsv_018406,0.019932434
GPT-5.2,google_gsv_018428,0.0420686
GPT-5.2,google_gsv_018429,-0.10081065
GPT-5.2,google_gsv_018440,0.025086924
GPT-5.2,google_gsv_018460,0.06898582
GPT-5.2,google_gsv_018481,0.1241329
GPT-5.2,google_gsv_018491,0.0077530295
GPT-5.2,google_gsv_018504,-0.21441786
GPT-5.2,google_gsv_018511,0.04386492
GPT-5.2,google_gsv_018515,0.016389757
GPT-5.2,google_gsv_018522,0.11540422
GPT-5.2,google_gsv_018526,-0.026580527
GPT-5.2,google_gsv_018538,-0.03649628
GPT-5.2,google_gsv_018539,-0.031877905
GPT-5.2,google_gsv_018563,-0.03246115
GPT-5.2,google_gsv_018564,7.69496e-05
GPT-5.2,google_gsv_018568,-0.11250462
GPT-5.2,google_gsv_018569,0.0700405
GPT-5.2,google_gsv_018580,0.047230825
GPT-5.2,google_gsv_018581,0.044110328
GPT-5.2,google_gsv_018589,0.014462009
GPT-5.2,google_gsv_018598,0.069032304
GPT-5.2,google_gsv_018611,0.04027511
GPT-5.2,google_gsv_018619,-0.07814564
GPT-5.2,google_gsv_018625,0.02875121
GPT-5.2,google_gsv_018627,0.10073674
GPT-5.2,google_gsv_018642,-0.0063663274
GPT-5.2,google_gsv_018663,0.05689913
GPT-5.2,google_gsv_018667,0.009163573
GPT-5.2,google_gsv_018670,-0.0074916035
GPT-5.2,google_gsv_018697,-0.029634222
GPT-5.2,google_gsv_018707,-0.04789321
GPT-5.2,google_gsv_018714,0.07920408
GPT-5.2,google_gsv_018724,0.080466926
GPT-5.2,google_gsv_018725,0.08196439
GPT-5.2,google_gsv_018732,-0.041295275
GPT-5.2,google_gsv_018740,0.03461282
GPT-5.2,google_gsv_018745,0.05733484
GPT-5.2,google_gsv_018749,-0.0051890165
GPT-5.2,google_gsv_018752,0.011964574
GPT-5.2,google_gsv_018754,0.04973586
GPT-5.2,google_gsv_018761,0.03879384
GPT-5.2,google_gsv_018763,-0.030491158
GPT-5.2,google_gsv_018767,-0.040616423
GPT-5.2,google_gsv_018783,-0.027395383
GPT-5.2,google_gsv_018789,-0.034329176
GPT-5.2,google_gsv_018790,0.027951434
GPT-5.2,google_gsv_018801,0.028567314
GPT-5.2,google_gsv_018802,0.057032973
GPT-5.2,google_gsv_018808,0.028609633
GPT-5.2,google_gsv_018817,-0.10733724
GPT-5.2,google_gsv_018852,-0.08389984
GPT-5.2,google_gsv_018853,-0.013964951
GPT-5.2,google_gsv_018881,-0.021785632
GPT-5.2,google_gsv_018890,0.03084986
GPT-5.2,google_gsv_018899,-0.007128939
GPT-5.2,google_gsv_018900,0.021075606
GPT-5.2,google_gsv_018902,-0.034027204
GPT-5.2,google_gsv_018903,-0.030271783
GPT-5.2,google_gsv_018908,0.049011678
GPT-5.2,google_gsv_018937,0.090774834
GPT-5.2,google_gsv_018952,0.06701536
GPT-5.2,google_gsv_018958,0.052667663
GPT-5.2,google_gsv_018962,0.01961197
GPT-5.2,google_gsv_018975,0.013188913
GPT-5.2,google_gsv_018976,-0.111972675
GPT-5.2,google_gsv_018977,0.023819
GPT-5.2,google_gsv_018992,0.016374797
GPT-5.2,google_gsv_018995,0.05479732
GPT-5.2,google_gsv_018996,0.058784187
GPT-5.2,google_gsv_019008,0.024400532
GPT-5.2,google_gsv_019010,0.033349052
GPT-5.2,google_gsv_019014,-0.03580387
GPT-5.2,google_gsv_019020,-0.030166447
GPT-5.2,google_gsv_019027,0.003490895
GPT-5.2,google_gsv_019039,-0.067689136
GPT-5.2,google_gsv_019071,0.026033595
GPT-5.2,google_gsv_019084,0.016178027
GPT-5.2,google_gsv_019097,0.075002894
GPT-5.2,google_gsv_019099,-0.06477356
GPT-5.2,google_gsv_019102,0.15327469
GPT-5.2,google_gsv_019120,0.04742402
GPT-5.2,google_gsv_019121,0.014807135
GPT-5.2,google_gsv_019132,-0.069295615
GPT-5.2,google_gsv_019140,0.023740605
GPT-5.2,google_gsv_019158,-0.03260012
GPT-5.2,google_gsv_019171,0.12821221
GPT-5.2,google_gsv_019175,0.121332824
GPT-5.2,google_gsv_019179,-0.057164848
GPT-5.2,google_gsv_019199,0.04712914
GPT-5.2,google_gsv_019204,-0.12504835
GPT-5.2,google_gsv_019233,0.05775836
GPT-5.2,google_gsv_019241,0.015628472
GPT-5.2,google_gsv_019253,-0.029280767
GPT-5.2,google_gsv_019279,0.08446626
GPT-5.2,google_gsv_019300,0.07873556
GPT-5.2,google_gsv_019311,0.048284933
GPT-5.2,google_gsv_019315,-0.015482575
GPT-5.2,google_gsv_019318,-0.060960516
GPT-5.2,google_gsv_019327,-0.068972155
GPT-5.2,google_gsv_019330,-0.025801137
GPT-5.2,google_gsv_019341,0.05532314
GPT-5.2,google_gsv_019347,0.032426536
GPT-5.2,google_gsv_019379,-0.006426975
GPT-5.2,google_gsv_019397,-0.020003244
GPT-5.2,google_gsv_019402,-0.010654092
GPT-5.2,google_gsv_019408,0.0990649
GPT-5.2,google_gsv_019417,-0.048297286
GPT-5.2,google_gsv_019418,0.0170459
GPT-5.2,google_gsv_019419,-0.03625226
GPT-5.2,google_gsv_019432,-0.049055904
GPT-5.2,google_gsv_019448,0.029481992
GPT-5.2,google_gsv_019459,-0.02497217
GPT-5.2,google_gsv_019472,0.019940153
GPT-5.2,google_gsv_019483,-0.017505124
GPT-5.2,google_gsv_019500,0.028098807
GPT-5.2,google_gsv_019517,0.026423179
GPT-5.2,google_gsv_019529,0.019655004
GPT-5.2,google_gsv_019552,-0.008973852
GPT-5.2,google_gsv_019558,0.048022956
GPT-5.2,google_gsv_019561,-0.09302086
GPT-5.2,google_gsv_019572,0.022308111
GPT-5.2,google_gsv_019575,-0.0018068552
GPT-5.2,google_gsv_019577,0.029211953
GPT-5.2,google_gsv_019578,0.049110994
GPT-5.2,google_gsv_019586,0.04835382
GPT-5.2,google_gsv_019594,-0.06849116
GPT-5.2,google_gsv_019628,-0.02552946
GPT-5.2,google_gsv_019632,-0.04042889
GPT-5.2,google_gsv_019645,0.027106017
GPT-5.2,google_gsv_019654,0.0329618
GPT-5.2,google_gsv_019655,0.1481309
GPT-5.2,google_gsv_019670,0.037411734
GPT-5.2,google_gsv_019676,0.00914067
GPT-5.2,google_gsv_019677,0.024819195
GPT-5.2,google_gsv_019688,0.0638895
GPT-5.2,google_gsv_019698,0.03812948
GPT-5.2,google_gsv_019725,0.0011066049
GPT-5.2,google_gsv_019734,0.09482725
GPT-5.2,google_gsv_019749,0.08038148
GPT-5.2,google_gsv_019755,-0.022360355
GPT-5.2,google_gsv_019772,-0.062044308
GPT-5.2,google_gsv_019775,0.048057422
GPT-5.2,google_gsv_019782,0.09954804
GPT-5.2,google_gsv_019788,-0.019666582
GPT-5.2,google_gsv_019790,-0.17469487
GPT-5.2,google_gsv_019803,0.121396825
GPT-5.2,google_gsv_019829,-0.006315112
GPT-5.2,google_gsv_019832,-0.050831273
GPT-5.2,google_gsv_019835,0.099119306
GPT-5.2,google_gsv_019848,-0.06388222
GPT-5.2,google_gsv_019855,-0.028594285
GPT-5.2,google_gsv_019860,0.09134942
GPT-5.2,google_gsv_019884,-0.02377893
GPT-5.2,google_gsv_019900,-0.0664051
GPT-5.2,google_gsv_019907,-0.020499825
GPT-5.2,google_gsv_019919,-0.065606825
GPT-5.2,google_gsv_019920,0.024353743
GPT-5.2,google_gsv_019952,-0.123722866
GPT-5.2,google_gsv_019953,0.057039812
GPT-5.2,google_gsv_019958,0.08701204
GPT-5.2,google_gsv_019964,-0.015609577
GPT-5.2,google_gsv_019971,0.0986228
GPT-5.2,google_gsv_019990,0.01925826
GPT-5.2,google_gsv_019991,0.023350075
GPT-5.2,google_gsv_019992,0.055631354
GPT-5.2,google_gsv_020005,0.050909556
GPT-5.2,google_gsv_020012,0.041649684
GPT-5.2,google_gsv_020015,-0.048257202
GPT-5.2,google_gsv_020042,0.027962953
GPT-5.2,google_gsv_020046,0.056117445
GPT-5.2,google_gsv_020055,0.034677625
GPT-5.2,google_gsv_020057,0.045337707
GPT-5.2,google_gsv_020058,0.016832553
GPT-5.2,google_gsv_020066,-0.09675686
GPT-5.2,google_gsv_020068,-0.045221105
GPT-5.2,google_gsv_020069,-0.038791
GPT-5.2,google_gsv_020097,0.0009954572
GPT-5.2,google_gsv_020098,0.113361195
GPT-5.2,google_gsv_020116,0.06335536
GPT-5.2,google_gsv_020121,0.018905833
GPT-5.2,google_gsv_020123,0.14085197
GPT-5.2,google_gsv_020143,0.096096486
GPT-5.2,google_gsv_020149,0.08830041
GPT-5.2,google_gsv_020159,-0.01345095
GPT-5.2,google_gsv_020174,-0.069370374
GPT-5.2,google_gsv_020181,-0.018336892
GPT-5.2,google_gsv_020190,-0.034980968
GPT-5.2,google_gsv_020210,-0.055027664
GPT-5.2,google_gsv_020211,-0.08540818
GPT-5.2,google_gsv_020214,-0.048030213
GPT-5.2,google_gsv_020236,0.045888357
GPT-5.2,google_gsv_020248,-0.070942834
GPT-5.2,google_gsv_020277,-0.0045581907
GPT-5.2,google_gsv_020281,0.014971375
GPT-5.2,google_gsv_020297,-0.041020572
GPT-5.2,google_gsv_020299,-0.03159225
GPT-5.2,google_gsv_020308,0.013938963
GPT-5.2,google_gsv_020316,-0.019037709
GPT-5.2,google_gsv_020341,-0.05633329
GPT-5.2,google_gsv_020342,0.043649226
GPT-5.2,google_gsv_020348,0.101199836
GPT-5.2,google_gsv_020358,0.047497272
GPT-5.2,google_gsv_020367,-0.0632955
GPT-5.2,google_gsv_020376,0.060355075
GPT-5.2,google_gsv_020382,-0.00030785054
GPT-5.2,google_gsv_020426,0.06953067
GPT-5.2,google_gsv_020430,0.031677656
GPT-5.2,google_gsv_020449,0.061280414
GPT-5.2,google_gsv_020456,0.06275299
GPT-5.2,google_gsv_020457,0.03694786
GPT-5.2,google_gsv_020459,-0.027807638
GPT-5.2,google_gsv_020465,-0.013051271
GPT-5.2,google_gsv_020508,0.023604587
GPT-5.2,google_gsv_020509,-0.031456098
GPT-5.2,google_gsv_020526,0.13238944
GPT-5.2,google_gsv_020541,0.041038156
GPT-5.2,google_gsv_020545,0.03150378
GPT-5.2,google_gsv_020550,-0.09921265
GPT-5.2,google_gsv_020558,0.07958084
GPT-5.2,google_gsv_020575,0.04121393
GPT-5.2,google_gsv_020582,-0.053209737
GPT-5.2,google_gsv_020594,0.08006781
GPT-5.2,google_gsv_020595,0.02941811
GPT-5.2,google_gsv_020604,-0.04760602
GPT-5.2,google_gsv_020608,-0.006361589
GPT-5.2,google_gsv_020612,-0.020096064
GPT-5.2,google_gsv_020615,0.011544213
GPT-5.2,google_gsv_020618,0.0854291
GPT-5.2,google_gsv_020632,0.09280598
GPT-5.2,google_gsv_020652,0.04315482
GPT-5.2,google_gsv_020695,0.013633966
GPT-5.2,google_gsv_020702,-0.0075799376
GPT-5.2,google_gsv_020708,-0.060942113
GPT-5.2,google_gsv_020752,0.08181855
GPT-5.2,google_gsv_020757,0.055177145
GPT-5.2,google_gsv_020765,0.042498343
GPT-5.2,google_gsv_020774,0.023600325
GPT-5.2,google_gsv_020775,0.03709191
GPT-5.2,google_gsv_020781,0.032868102
GPT-5.2,google_gsv_020784,0.06423676
GPT-5.2,google_gsv_020790,0.15981193
GPT-5.2,google_gsv_020807,0.047342986
GPT-5.2,google_gsv_020816,-0.027890041
GPT-5.2,google_gsv_020817,-0.08051221
GPT-5.2,google_gsv_020819,-0.025062665
GPT-5.2,google_gsv_020824,0.0554177
GPT-5.2,google_gsv_020828,0.0542745
GPT-5.2,google_gsv_020838,0.16366358
GPT-5.2,google_gsv_020839,0.0520757
GPT-5.2,google_gsv_020846,-0.036876097
GPT-5.2,google_gsv_020848,-0.018387139
GPT-5.2,google_gsv_020850,-0.0053487867
GPT-5.2,google_gsv_020863,0.016564548
GPT-5.2,google_gsv_020868,-0.00058601797
GPT-5.2,google_gsv_020874,0.03064558
GPT-5.2,google_gsv_020890,0.005896777
GPT-5.2,google_gsv_020892,0.06462577
GPT-5.2,google_gsv_020899,0.017707959
GPT-5.2,google_gsv_020908,0.0032185838
GPT-5.2,google_gsv_020910,-0.0013139993
GPT-5.2,google_gsv_020937,-0.024738476
GPT-5.2,google_gsv_020941,0.010992527
GPT-5.2,google_gsv_020942,0.016526848
GPT-5.2,google_gsv_020953,-0.08174087
GPT-5.2,google_gsv_020960,0.0404578
GPT-5.2,google_gsv_020961,0.016900502
GPT-5.2,google_gsv_020967,0.07215635
GPT-5.2,google_gsv_020978,0.0803805
GPT-5.2,google_gsv_020979,0.029806659
GPT-5.2,google_gsv_020994,-0.0075384676
GPT-5.2,google_gsv_021013,0.033896096
GPT-5.2,google_gsv_021025,0.18365645
GPT-5.2,google_gsv_021028,0.08057783
GPT-5.2,google_gsv_021030,0.044287503
GPT-5.2,google_gsv_021031,-0.013497412
GPT-5.2,google_gsv_021034,-0.014736995
GPT-5.2,google_gsv_021056,-0.05029483
GPT-5.2,google_gsv_021068,0.0909206
GPT-5.2,google_gsv_021069,0.0824355
GPT-5.2,google_gsv_021073,0.12745923
GPT-5.2,google_gsv_021091,-0.0030054897
GPT-5.2,google_gsv_021113,0.09365052
GPT-5.2,google_gsv_021114,0.090604246
GPT-5.2,google_gsv_021126,-0.015008509
GPT-5.2,google_gsv_021127,0.04103759
GPT-5.2,google_gsv_021131,0.014155969
GPT-5.2,google_gsv_021150,0.12344115
GPT-5.2,google_gsv_021153,0.039860815
GPT-5.2,google_gsv_021166,-0.01671432
GPT-5.2,google_gsv_021168,0.061113387
GPT-5.2,google_gsv_021178,0.0028046966
GPT-5.2,google_gsv_021200,0.071107164
GPT-5.2,google_gsv_021208,0.119702294
GPT-5.2,google_gsv_021222,0.006430641
GPT-5.2,google_gsv_021223,-0.029745825
GPT-5.2,google_gsv_021234,0.04190276
GPT-5.2,google_gsv_021238,0.045493893
GPT-5.2,google_gsv_021243,0.044307895
GPT-5.2,google_gsv_021251,-0.12697046
GPT-5.2,google_gsv_021257,-0.12279847
GPT-5.2,google_gsv_021258,0.02658394
GPT-5.2,google_gsv_021262,-0.03329973
GPT-5.2,google_gsv_021266,0.041732565
GPT-5.2,google_gsv_021285,-0.091147795
GPT-5.2,google_gsv_021292,0.017931253
GPT-5.2,google_gsv_021305,0.20244724
GPT-5.2,google_gsv_021312,-0.027714923
GPT-5.2,google_gsv_021333,0.05862856
GPT-5.2,google_gsv_021349,-0.105681434
GPT-5.2,google_gsv_021373,0.08271198
GPT-5.2,google_gsv_021407,0.13208011
GPT-5.2,google_gsv_021411,0.113811165
GPT-5.2,google_gsv_021428,-0.0822195
GPT-5.2,google_gsv_021431,0.03784457
GPT-5.2,google_gsv_021461,0.014691323
GPT-5.2,google_gsv_021466,-0.07434702
GPT-5.2,google_gsv_021484,0.035131693
GPT-5.2,google_gsv_021485,0.070879206
GPT-5.2,google_gsv_021491,0.052454658
GPT-5.2,google_gsv_021521,0.011174098
GPT-5.2,google_gsv_021522,0.01252988
GPT-5.2,google_gsv_021544,-0.0033535063
GPT-5.2,google_gsv_021547,0.062377885
GPT-5.2,google_gsv_021551,0.060982555
GPT-5.2,google_gsv_021593,0.024926335
GPT-5.2,google_gsv_021600,0.00034351647
GPT-5.2,google_gsv_021607,0.03645651
GPT-5.2,google_gsv_021624,-0.010812491
GPT-5.2,google_gsv_021631,0.048486248
GPT-5.2,google_gsv_021633,-0.5277804
GPT-5.2,google_gsv_021664,-0.02760996
GPT-5.2,google_gsv_021665,-0.011043876
GPT-5.2,google_gsv_021672,0.050132215
GPT-5.2,google_gsv_021679,-0.03185323
GPT-5.2,google_gsv_021680,0.019023344
GPT-5.2,google_gsv_021689,-0.008917227
GPT-5.2,google_gsv_021705,0.050797924
GPT-5.2,google_gsv_021718,0.07582079
GPT-5.2,google_gsv_021730,-0.06308144
GPT-5.2,google_gsv_021733,-0.013446212
GPT-5.2,google_gsv_021740,0.024016231
GPT-5.2,google_gsv_021745,-0.009402782
GPT-5.2,google_gsv_021747,0.087089166
GPT-5.2,google_gsv_021749,0.07883288
GPT-5.2,google_gsv_021751,0.105180874
GPT-5.2,google_gsv_021769,-0.12754655
GPT-5.2,google_gsv_021772,0.05767539
GPT-5.2,google_gsv_021779,-0.008583158
GPT-5.2,google_gsv_021780,0.06976822
GPT-5.2,google_gsv_021791,0.070610724
GPT-5.2,google_gsv_021792,0.017003015
GPT-5.2,google_gsv_021800,-0.0027425885
GPT-5.2,google_gsv_021805,-0.00043940544
GPT-5.2,google_gsv_021806,-0.04078196
GPT-5.2,google_gsv_021809,-0.031220421
GPT-5.2,google_gsv_021815,-0.08768065
GPT-5.2,google_gsv_021819,0.074700594
GPT-5.2,google_gsv_021823,0.01352343
GPT-5.2,google_gsv_021841,0.07511037
GPT-5.2,google_gsv_021853,0.0035946965
GPT-5.2,google_gsv_021855,0.062558874
GPT-5.2,google_gsv_021857,-0.0336902
GPT-5.2,google_gsv_021860,0.039782107
GPT-5.2,google_gsv_021869,0.011179477
GPT-5.2,google_gsv_021881,0.020434126
GPT-5.2,google_gsv_021895,0.061403923
GPT-5.2,google_gsv_021906,0.021573037
GPT-5.2,google_gsv_021907,-0.09135553
GPT-5.2,google_gsv_021917,-0.032876596
GPT-5.2,google_gsv_021925,0.17073104
GPT-5.2,google_gsv_021932,0.06354506
GPT-5.2,google_gsv_021965,0.07588974
GPT-5.2,google_gsv_021967,0.107354045
GPT-5.2,google_gsv_021973,-0.055854633
GPT-5.2,google_gsv_021979,0.16071516
GPT-5.2,google_gsv_021981,-0.046342477
GPT-5.2,google_gsv_021989,-0.021983132
GPT-5.2,google_gsv_021997,0.052190557
GPT-5.2,google_gsv_022018,0.050347053
GPT-5.2,google_gsv_022034,-0.017251939
GPT-5.2,google_gsv_022044,0.0050890744
GPT-5.2,google_gsv_022049,0.01955463
GPT-5.2,google_gsv_022054,-0.051029146
GPT-5.2,google_gsv_022067,0.017621592
GPT-5.2,google_gsv_022077,0.07135293
GPT-5.2,google_gsv_022078,0.08957067
GPT-5.2,google_gsv_022084,0.012706786
GPT-5.2,google_gsv_022087,0.03131695
GPT-5.2,google_gsv_022109,0.0337815
GPT-5.2,google_gsv_022119,0.10806362
GPT-5.2,google_gsv_022126,0.032282665
GPT-5.2,google_gsv_022139,-0.023704648
GPT-5.2,google_gsv_022148,0.0008495152
GPT-5.2,google_gsv_022160,0.020879805
GPT-5.2,google_gsv_022161,0.0031931847
GPT-5.2,google_gsv_022164,-0.016644776
GPT-5.2,google_gsv_022166,-0.09761609
GPT-5.2,google_gsv_022171,-0.032094046
GPT-5.2,google_gsv_022189,0.00046299398
GPT-5.2,google_gsv_022193,-0.013998181
GPT-5.2,google_gsv_022201,0.04317364
GPT-5.2,google_gsv_022205,-0.0007444471
GPT-5.2,google_gsv_022214,-0.039363325
GPT-5.2,google_gsv_022228,-0.0058575273
GPT-5.2,google_gsv_022235,0.030732155
GPT-5.2,google_gsv_022253,0.010686979
GPT-5.2,google_gsv_022273,0.12455866
GPT-5.2,google_gsv_022276,0.14086452
GPT-5.2,google_gsv_022278,0.06301924
GPT-5.2,google_gsv_022289,0.0248622
GPT-5.2,google_gsv_022291,0.044981964
GPT-5.2,google_gsv_022304,-0.0075857416
GPT-5.2,google_gsv_022322,0.014837131
GPT-5.2,google_gsv_022330,0.022257328
GPT-5.2,google_gsv_022345,0.04442545
GPT-5.2,google_gsv_022350,0.013905346
GPT-5.2,google_gsv_022353,0.07969494
GPT-5.2,google_gsv_022377,0.045658976
GPT-5.2,google_gsv_022380,-0.03477283
GPT-5.2,google_gsv_022395,-0.02302444
GPT-5.2,google_gsv_022403,0.018839933
GPT-5.2,google_gsv_022416,0.013778612
GPT-5.2,google_gsv_022428,0.0012124777
GPT-5.2,google_gsv_022433,-0.047436178
GPT-5.2,google_gsv_022436,0.04177484
GPT-5.2,google_gsv_022439,-0.018456042
GPT-5.2,google_gsv_022441,0.05024135
GPT-5.2,google_gsv_022452,0.03089954
GPT-5.2,google_gsv_022468,0.0027424246
GPT-5.2,google_gsv_022498,0.039966762
GPT-5.2,google_gsv_022500,-0.042073727
GPT-5.2,google_gsv_022519,-0.058881886
GPT-5.2,google_gsv_022533,0.04240957
GPT-5.2,google_gsv_022534,0.019959897
GPT-5.2,google_gsv_022544,0.0054607093
GPT-5.2,google_gsv_022549,0.11293712
GPT-5.2,google_gsv_022554,-0.105905205
GPT-5.2,google_gsv_022561,0.09489217
GPT-5.2,google_gsv_022565,0.09490107
GPT-5.2,google_gsv_022571,-0.043748632
GPT-5.2,google_gsv_022575,-0.039132103
GPT-5.2,google_gsv_022588,-0.058934286
GPT-5.2,google_gsv_022599,0.0052040815
GPT-5.2,google_gsv_022615,0.03189127
GPT-5.2,google_gsv_022623,0.011078909
GPT-5.2,google_gsv_022627,-0.0917252
GPT-5.2,google_gsv_022628,-0.021753833
GPT-5.2,google_gsv_022665,0.052216224
GPT-5.2,google_gsv_022668,-0.016218126
GPT-5.2,google_gsv_022670,0.053613953
GPT-5.2,google_gsv_022681,0.04664792
GPT-5.2,google_gsv_022691,0.01046218
GPT-5.2,google_gsv_022693,0.018621787
GPT-5.2,google_gsv_022715,0.009526655
GPT-5.2,google_gsv_022717,-0.0025019944
GPT-5.2,google_gsv_022731,-0.032958627
GPT-5.2,google_gsv_022761,-0.021804392
GPT-5.2,google_gsv_022766,0.056703687
GPT-5.2,google_gsv_022773,-0.03366983
GPT-5.2,google_gsv_022790,0.016816393
GPT-5.2,google_gsv_022792,0.072689265
GPT-5.2,google_gsv_022794,-0.00654009
GPT-5.2,google_gsv_022805,0.0069129467
GPT-5.2,google_gsv_022810,0.106132865
GPT-5.2,google_gsv_022812,0.17456135
GPT-5.2,google_gsv_022815,-0.0034817755
GPT-5.2,google_gsv_022819,0.042636998
GPT-5.2,google_gsv_022821,0.038360342
