model,mean_delta,median_delta,q25,q75,prop_positive,n
GPT-5.2,0.01579028181731701,0.01807098090648651,-0.020399153232574463,0.053319089114665985,0.6300138312586445,2892
Gemini 2.5 Flash,0.028589488938450813,0.0285625196993351,0.0018587391823530197,0.05510364659130573,0.7686721991701245,2892
Claude Sonnet 4,0.07392984628677368,0.0703727975487709,0.03319627791643143,0.11173717305064201,0.8872752420470262,2892
