condition_key,condition_label,condition_abbr,n,mean,ci_low,ci_high,sd,model_key,model_label
neutral,Neutral,NEU,1000,0.533944118976593,0.5259210707828402,0.5409160768583418,0.1164748538341316,gpt52,GPT-5.2
united_kingdom,United Kingdom,UK,1000,0.5182156487703323,0.5109201594948769,0.5251778946056962,0.1167844452599192,gpt52,GPT-5.2
western_europe,Western Europe,WE,1000,0.5258084076046944,0.5184698317959905,0.5333850116804242,0.1205308581479031,gpt52,GPT-5.2
europe_northern_america,Europe and Northern America,ENA,1000,0.5291896433234214,0.5221216255605221,0.5367126046940685,0.1191006910552478,gpt52,GPT-5.2
neutral,Neutral,NEU,1000,0.5297135156989098,0.5212161987721919,0.5372990040898323,0.1217676818344862,claude_sonnet4,Claude Sonnet 4
united_kingdom,United Kingdom,UK,1000,0.5251073284745217,0.517098207245767,0.5323672121018171,0.1240476127509558,claude_sonnet4,Claude Sonnet 4
western_europe,Western Europe,WE,1000,0.530008139014244,0.5226818504154682,0.5382804290667176,0.1246131574108703,claude_sonnet4,Claude Sonnet 4
europe_northern_america,Europe and Northern America,ENA,1000,0.529841431260109,0.5226583818927407,0.5374880909070373,0.1238798132552578,claude_sonnet4,Claude Sonnet 4
neutral,Neutral,NEU,1000,0.537364122748375,0.5297485589250922,0.5450736139401793,0.1154136560551001,gemini25flash,Gemini 2.5 Flash
united_kingdom,United Kingdom,UK,1000,0.5237574800848961,0.5165074541404843,0.5314683081761002,0.1196702896343138,gemini25flash,Gemini 2.5 Flash
western_europe,Western Europe,WE,1000,0.5311853786706925,0.5245686113104224,0.5390175302952528,0.1200943330315199,gemini25flash,Gemini 2.5 Flash
europe_northern_america,Europe and Northern America,ENA,1000,0.5319875421524047,0.5246628003627062,0.5386163796648383,0.1191532018421995,gemini25flash,Gemini 2.5 Flash
