model_key,model_label,color,marker,region_abbr,region_label,n_images,mu_self,mu_others,sigma_region,ipi,ci95_low,ci95_high,ci95_lower_delta,ci95_upper_delta,ipi_boot_mean,text_variant,bootstrap_reps
gpt52,GPT-5.2,#47AFFF,o,ENA,Europe & N. America,843,0.7069042980545671,0.7984275233384738,0.6030835944500331,-0.15175877129831222,-0.22325184309200943,-0.08120756790155116,0.07131309570227001,0.07073117948818826,-0.15193874738973942,stripped,4000
gpt52,GPT-5.2,#47AFFF,o,CSA,Central & S. Asia,310,0.7083296272258065,0.686200142628871,0.7032801352633989,0.03146610217939313,-0.07179188243415484,0.13117469457440345,0.10224926070299381,0.10071731630556446,0.03045737826883898,stripped,4000
gpt52,GPT-5.2,#47AFFF,o,NAWA,N. Africa & W. Asia,247,0.7703725359919029,0.6458877422368421,0.730441936600052,0.1704239413395312,0.06819913674954148,0.27084897822898674,0.10303166337072953,0.09961817810871573,0.171230800120271,stripped,4000
gpt52,GPT-5.2,#47AFFF,o,ESEA,E. & SE. Asia,339,0.8273953009144541,0.7710023131219272,0.6081893683001312,0.09272274513798784,0.0007764493949256635,0.18374341273898498,0.09340075370456072,0.0895662096394986,0.09417720309948638,stripped,4000
gpt52,GPT-5.2,#47AFFF,o,SSA,Sub-Saharan Africa,557,0.7277770593357271,0.6964733663426091,0.6935288436425895,0.04513682924664392,-0.03378590348131039,0.12239572830915416,0.07932051725955627,0.07686111453090827,0.045534613778245886,stripped,4000
gpt52,GPT-5.2,#47AFFF,o,LAC,Lat. Am. & Caribbean,404,0.7794826835767327,0.7047012129554455,0.677855089130025,0.11032073347308409,0.021905741550171793,0.19530034315213438,0.0894529850099954,0.08394161659196718,0.1113587265601672,stripped,4000
gpt52,GPT-5.2,#47AFFF,o,OCE,Oceania,193,0.9130413230478794,0.8975041513786541,0.42141666134391736,0.03686890693803263,-0.09708221710313367,0.1568041553735916,0.13269237087920097,0.1211940015975243,0.035610153776067306,stripped,4000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,ENA,Europe & N. America,843,0.9614313896797154,0.8696532759282326,0.4606174031956344,0.19925020877359823,0.15480183508999198,0.2371446204097516,0.04432888245065594,0.038013902869103666,0.19913071754064793,stripped,4000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,CSA,Central & S. Asia,310,0.9905507542258064,0.8645319546575269,0.45957464657260194,0.2742074666392015,0.22836381258714603,0.3137928360509098,0.04577944199175263,0.03964958147201114,0.27414325457889865,stripped,4000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,NAWA,N. Africa & W. Asia,247,0.9812246610526317,0.8458914741160594,0.4899891215401919,0.2761963092388195,0.2128442585336991,0.3251871643566079,0.06280727635638039,0.0495356294665284,0.2756515348900795,stripped,4000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,ESEA,E. & SE. Asia,339,0.9795765532448377,0.9348128761307769,0.3258650422612161,0.13736876101664777,0.07142174999923144,0.1932735565316926,0.06596596202669018,0.05588584450577097,0.13738771202592162,stripped,4000
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,SSA,Sub-Saharan Africa,557,0.989977556642729,0.9339980907839617,0.3217150619231208,0.1740032484775132,0.13190318399101617,0.2078587170478654,0.041654611500581085,0.034300921556268155,0.17355779549159725,stripped,4000
