condition_key,n_images,mu_self,mu_others,sigma_region,ipi,run_key,model_label
africa,25,0.8282949144,0.8028874986,0.5624387377718251,0.04517365909157479,macro5_gpt52,GPT-5.2
asia,25,0.8341509736,0.6266551632999999,0.7318025626524859,0.28354069921252034,macro5_gpt52,GPT-5.2
europe_northern_america,25,0.9157311272000002,0.7647552541,0.5932145168481731,0.25450468390786335,macro5_gpt52,GPT-5.2
latin_america_caribbean,15,0.7298891526666665,0.8237911238333334,0.5783603335502894,-0.16235894081851301,macro5_gpt52,GPT-5.2
oceania,10,0.9969135800000002,0.9458248142500001,0.28174858349053034,0.18132749814416443,macro5_gpt52,GPT-5.2
africa,25,0.9962687048,0.9169207954000003,0.3511214290115085,0.2259842403335598,macro5_claude,macro5_claude
asia,25,0.9968025232,0.8370790824,0.48960316407597665,0.32623040968586164,macro5_claude,macro5_claude
europe_northern_america,25,0.997035448,0.9162808534,0.33045312420060374,0.2443753400587534,macro5_claude,macro5_claude
latin_america_caribbean,15,0.8644588826666666,0.9631247828333332,0.3235997092006963,-0.30490107797184124,macro5_claude,macro5_claude
oceania,10,0.826702278,0.9974322492500001,0.24159626894924344,-0.7066747015280624,macro5_claude,macro5_claude
africa,25,0.996081672,0.9131172913000001,0.3510364277189436,0.23634122885510078,macro5_gemini,macro5_gemini
asia,25,0.9617305307999999,0.9359590046000001,0.3087611349163031,0.08346751998753262,macro5_gemini,macro5_gemini
europe_northern_america,25,0.917240778,0.9165992195000001,0.3908739110356852,0.0016413438755735867,macro5_gemini,macro5_gemini
latin_america_caribbean,15,0.9963840100000001,0.9070955763333333,0.3555647082994422,0.25111725540396357,macro5_gemini,macro5_gemini
oceania,10,0.996887428,0.9475167460000001,0.2788548503093275,0.17704795862519168,macro5_gemini,macro5_gemini
