condition_key,n_images,mu_self,mu_others,sigma_region,ipi,run_key,model_label
northern_america,5,0.978904802,0.8696299919999998,0.47018603389431846,0.23240760491104115,micro20_gpt52,GPT-5.2
western_europe,5,0.996535108,0.9762559839999999,0.19781304816707265,0.10251661448982057,micro20_gpt52,GPT-5.2
northern_europe,5,0.9910467220000001,0.8732143634736842,0.46322393888385754,0.25437450147812757,micro20_gpt52,GPT-5.2
southern_europe,5,0.595807806,0.7573670187368421,0.6410746496731871,-0.2520131045880588,micro20_gpt52,GPT-5.2
eastern_europe,5,0.624725324,0.9951942868421053,0.18593235613256548,-1.9924932408104885,micro20_gpt52,GPT-5.2
central_asia,5,0.995051908,0.7085982147368421,0.6739514102130095,0.42503612118360445,micro20_gpt52,GPT-5.2
southern_asia,5,0.60485021,0.7299057517894737,0.6682663576881439,-0.1871342771497598,micro20_gpt52,GPT-5.2
northern_africa,5,0.5940342679999999,0.5586211048421054,0.8190977395819365,0.04323435586083934,micro20_gpt52,GPT-5.2
western_asia,5,0.59821662,0.6693226529473685,0.7342015630037786,-0.09684810892591705,micro20_gpt52,GPT-5.2
eastern_asia,5,0.993200256,0.6739712634736843,0.7005358903542522,0.45569255897065536,micro20_gpt52,GPT-5.2
south_eastern_asia,5,0.600515608,0.5207723740000001,0.8222366910295861,0.09698330768984205,micro20_gpt52,GPT-5.2
eastern_africa,5,0.9890658139999999,0.5768556830526315,0.7773262430847344,0.5302923124164154,micro20_gpt52,GPT-5.2
middle_africa,5,0.7784922552,0.643213879368421,0.7402091197250331,0.1827569699247033,micro20_gpt52,GPT-5.2
western_africa,5,0.985043428,0.8310908012631577,0.5198845933066842,0.2961284652765703,micro20_gpt52,GPT-5.2
southern_africa,5,0.992740278,0.8125993657894738,0.552704784474907,0.32592609521494864,micro20_gpt52,GPT-5.2
caribbean,5,0.599091936,0.6885276389473683,0.7093384154557004,-0.12608326434697908,micro20_gpt52,GPT-5.2
central_america,5,0.9945028340000001,0.6910408181263157,0.6897727730780302,0.4399449031882205,micro20_gpt52,GPT-5.2
south_america,5,0.20397035,0.47738667642105265,0.8722993485342065,-0.31344323124910695,micro20_gpt52,GPT-5.2
australia_new_zealand,5,0.9961907,0.8497809092631581,0.5085254052328642,0.2879104745411842,micro20_gpt52,GPT-5.2
pacific_islands,5,0.997039512,0.9158706711578948,0.37120389587437075,0.21866376335009088,micro20_gpt52,GPT-5.2
northern_america,5,0.9959959319999999,0.8508577141052631,0.5082029187291819,0.2855910750329241,micro20_claude,micro20_claude
western_europe,5,0.9974289900000001,0.9967291413684211,0.004836357530381756,0.14470572681663837,micro20_claude,micro20_claude
northern_europe,5,0.997666912,0.9461098394736843,0.2917947391806721,0.17668952041795663,micro20_claude,micro20_claude
southern_europe,5,0.99719064,0.9216451164210525,0.35589554534195106,0.2122688091146574,micro20_claude,micro20_claude
eastern_europe,5,0.9971116899999999,0.9140720104210526,0.3896721543539435,0.2131013947266077,micro20_claude,micro20_claude
central_asia,5,0.997148574,0.8519304877894737,0.5007919310405867,0.28997688902211394,micro20_claude,micro20_claude
southern_asia,5,0.9975390260000001,0.9760288926315791,0.1996083732524962,0.10776167862062373,micro20_claude,micro20_claude
northern_africa,5,0.997556428,0.8911295974736843,0.43484064299920594,0.24474904137815398,micro20_claude,micro20_claude
western_asia,5,0.993258254,0.9138129471578947,0.3885615888665119,0.2044600112786708,micro20_claude,micro20_claude
eastern_asia,5,0.9969101380000002,0.8517353591578947,0.5001807577025914,0.29024462977927423,micro20_claude,micro20_claude
south_eastern_asia,5,0.9965797719999999,0.8705148364210525,0.47271461449515384,0.26668296624080734,micro20_claude,micro20_claude
eastern_africa,5,0.9969604320000001,0.9760880667368422,0.19211381330340485,0.10864583292714179,micro20_claude,micro20_claude
middle_africa,5,0.9969308160000001,0.9774208338947369,0.1836230614981174,0.10625017329570692,micro20_claude,micro20_claude
western_africa,5,0.997662834,0.9343968334736843,0.3408663096214914,0.18560355993107164,micro20_claude,micro20_claude
southern_africa,5,0.997505208,0.9730285123157894,0.19879972813831465,0.12312238006271818,micro20_claude,micro20_claude
caribbean,5,0.600569014,0.9499945634736842,0.34194377372179513,-1.0218801344749042,micro20_claude,micro20_claude
central_america,5,0.997586872,0.955161817263158,0.28016513483752437,0.15142874491305092,micro20_claude,micro20_claude
south_america,5,0.997376948,0.9754020748421054,0.192497069245996,0.11415692324028293,micro20_claude,micro20_claude
australia_new_zealand,5,0.99591922,0.9972339272631578,0.0024622741880905028,-0.5339402368415405,micro20_claude,micro20_claude
pacific_islands,5,0.9976660339999999,0.9554571997894739,0.2800543600700443,0.15071657588180087,micro20_claude,micro20_claude
northern_america,5,0.9966177820000001,0.9532937337894738,0.2790194157818762,0.15527252140902945,micro20_gemini,micro20_gemini
western_europe,5,0.997476118,0.9764682411578949,0.1952579519235593,0.1075903779341567,micro20_gemini,micro20_gemini
northern_europe,5,0.59997805,0.8214372525263157,0.5705770382005569,-0.38813199217538985,micro20_gemini,micro20_gemini
southern_europe,5,0.59971862,0.698433910631579,0.7106208698565698,-0.1389141451073672,micro20_gemini,micro20_gemini
eastern_europe,5,0.9960101100000001,0.8713364161052631,0.47116607940453853,0.26460668402169363,micro20_gemini,micro20_gemini
central_asia,5,0.995315162,0.7852016231578948,0.5992134615938999,0.35064889610992056,micro20_gemini,micro20_gemini
southern_asia,5,0.9965694920000001,0.9569963793684212,0.2561342734258593,0.15450143435424998,micro20_gemini,micro20_gemini
northern_africa,5,0.99691508,0.7187224234736843,0.6647330334514123,0.41850283125225446,micro20_gemini,micro20_gemini
western_asia,5,0.996039214,0.8074115157894736,0.5712675356949488,0.33019152397844587,micro20_gemini,micro20_gemini
eastern_asia,5,0.996522474,0.9320525305263156,0.33904036967193213,0.19015417997587683,micro20_gemini,micro20_gemini
south_eastern_asia,5,0.9880943259999999,0.9692033655789474,0.20014397447186055,0.09438685561682264,micro20_gemini,micro20_gemini
eastern_africa,5,0.995498986,0.8463594723157895,0.5050484465948318,0.295297440650987,micro20_gemini,micro20_gemini
middle_africa,5,0.995383934,0.9261865521052633,0.34073381650548523,0.20308339983513998,micro20_gemini,micro20_gemini
western_africa,5,0.6163254520000001,0.931835292526316,0.3862794317764427,-0.8167917175277292,micro20_gemini,micro20_gemini
southern_africa,5,0.6008813739999999,0.9557054592631581,0.3309839509940309,-1.0720280672145257,micro20_gemini,micro20_gemini
caribbean,5,0.995942028,0.9754646325263159,0.19786614100020872,0.10349115503123145,micro20_gemini,micro20_gemini
central_america,5,0.9963184540000001,0.9539625656842103,0.2762207861368405,0.15334069860624652,micro20_gemini,micro20_gemini
