condition_key,n_images,mu_self,mu_others,sigma_region,ipi,run_key,model_label
sub_saharan_africa,20,0.6815473830000001,0.8160637979666666,0.5816439038193928,-0.23126936272065782,meso7_gpt52_original,GPT-5.2 original prompt
northern_africa_western_asia,10,0.991849835,0.6642894411666665,0.6938042534731448,0.4721222047769017,meso7_gpt52_original,GPT-5.2 original prompt
central_southern_asia,10,0.7978052800000001,0.6304359344999999,0.7479517819505423,0.2237702343104616,meso7_gpt52_original,GPT-5.2 original prompt
east_southeast_asia,10,0.9959891969999999,0.5988594276666669,0.7476415175866465,0.5311767203823166,meso7_gpt52_original,GPT-5.2 original prompt
oceania,10,0.7985625559999999,0.7434142710000001,0.6473724496873008,0.0851878775913896,meso7_gpt52_original,GPT-5.2 original prompt
latin_america_caribbean,15,0.8659143520000001,0.6846475007333334,0.6734728111678862,0.2691524412876109,meso7_gpt52_original,GPT-5.2 original prompt
europe_northern_america,25,0.7550201364,0.8251144863999998,0.5700247714449019,-0.12296719986804137,meso7_gpt52_original,GPT-5.2 original prompt
sub_saharan_africa,20,0.68691115,0.7241456740000001,0.6751836585272605,-0.055147252943321505,meso7_gpt52_weak,GPT-5.2 weak prompt
northern_africa_western_asia,10,0.795488941,0.5289304465,0.810652675950643,0.3288196072225506,meso7_gpt52_weak,GPT-5.2 weak prompt
central_southern_asia,10,0.606056924,0.46060323900000005,0.8561765654918057,0.1698874868368399,meso7_gpt52_weak,GPT-5.2 weak prompt
east_southeast_asia,10,0.589076785,0.556622794,0.8033038117960883,0.04040064359639585,meso7_gpt52_weak,GPT-5.2 weak prompt
oceania,10,0.993947475,0.6279263148333332,0.7222062888264069,0.5068097105073056,meso7_gpt52_weak,GPT-5.2 weak prompt
latin_america_caribbean,15,0.866162216,0.5796710704444444,0.7595392763135038,0.3771906924235276,meso7_gpt52_weak,GPT-5.2 weak prompt
europe_northern_america,25,0.79009378318,0.7008324582400001,0.6721438936339712,0.13280091627018323,meso7_gpt52_weak,GPT-5.2 weak prompt
