series,name_en,geonunit,n_points,mean_gap,median_gap,eligible
Claude Sonnet 4,Luton,England,2,,,False
Claude Sonnet 4,Manchester,England,5,0.00472734599999996,0.00313187,True
Claude Sonnet 4,Medway,England,1,,,False
Claude Sonnet 4,Merseyside,England,1,,,False
Claude Sonnet 4,Midlothian,Scotland,1,,,False
Claude Sonnet 4,Milton Keynes,England,4,0.9070059175,0.81762472,True
Claude Sonnet 4,Monmouthshire,Wales,4,0.00103209749999994,0.00155144499999995,True
Claude Sonnet 4,Moray,Scotland,1,,,False
Claude Sonnet 4,Neath Port Talbot,Wales,1,,,False
Claude Sonnet 4,Newcastle upon Tyne,England,3,1.9841995166666668,1.98608386,True
Claude Sonnet 4,Newport,Wales,5,0.475396418,0.08629415,True
Claude Sonnet 4,Norfolk,England,14,0.22815707642857141,0.01344732999999995,True
Claude Sonnet 4,North Ayrshire,Scotland,1,,,False
Claude Sonnet 4,North East Lincolnshire,England,2,,,False
Claude Sonnet 4,North Lincolnshire,England,1,,,False
Claude Sonnet 4,North Somerset,England,7,0.5479776399999999,0.0016495399999999,True
Claude Sonnet 4,North Tyneside,England,2,,,False
Claude Sonnet 4,North Yorkshire,England,10,1.374946257,1.9439760449999999,True
Claude Sonnet 4,Northamptonshire,England,2,,,False
Claude Sonnet 4,Northumberland,England,9,0.44524993999999996,0.0037561999999999,True
Claude Sonnet 4,Nottingham,England,7,0.8597680428571428,0.05182,True
Claude Sonnet 4,Nottinghamshire,England,9,0.4715880833333333,0.0004956099999999,True
Claude Sonnet 4,Oldham,England,1,,,False
Claude Sonnet 4,Orkney Islands,Scotland,4,0.49505668999999997,0.009326229999999951,True
Claude Sonnet 4,Oxfordshire,England,8,0.26700773749999995,0.017621239999999948,True
Claude Sonnet 4,Pembrokeshire,Wales,2,,,False
Claude Sonnet 4,Perth and Kinross,Scotland,2,,,False
Claude Sonnet 4,Peterborough,England,4,0.004844604999999975,0.00275683499999995,True
Claude Sonnet 4,Powys,Wales,4,1.490427825,1.983402205,True
Claude Sonnet 4,Redbridge,England,3,1.9539766166666668,1.9784402,True
Claude Sonnet 4,Redcar and Cleveland,England,3,0.6646584299999999,0.00296236,True
Claude Sonnet 4,Renfrewshire,Scotland,3,0.6618033266666666,0.0074536199999999,True
Claude Sonnet 4,Rhondda Cynon Taf,Wales,1,,,False
Claude Sonnet 4,Richmond upon Thames,England,5,0.40342283599999995,0.0103927,True
Claude Sonnet 4,Rochdale,England,1,,,False
Claude Sonnet 4,Sandwell,England,2,,,False
Claude Sonnet 4,Scottish Borders,Scotland,10,0.589958199,0.007003304999999901,True
Claude Sonnet 4,Sheffield,England,2,,,False
Claude Sonnet 4,Shropshire,England,8,1.08396236875,1.3533828,True
