axis,model,n_pairs,human_target_divergence_rate,llm_divergence_rate,flattening_rate,strict_replication_rate,reverse_rate,replication_gap_vs_target
gender,GPT-5.2,90,1.0,0.1111111111111111,0.8888888888888888,0.0444444444444444,0.0666666666666666,-0.8888888888888888
gender,Claude Sonnet 4,73,1.0,0.0273972602739726,0.9726027397260274,0.0,0.0273972602739726,-0.9726027397260274
gender,Gemini 2.5 Flash,81,1.0,0.0864197530864197,0.9135802469135802,0.074074074074074,0.0123456790123456,-0.9135802469135804
age,GPT-5.2,90,1.0,0.0777777777777777,0.9222222222222224,0.0333333333333333,0.0444444444444444,-0.9222222222222224
age,Claude Sonnet 4,90,1.0,0.0222222222222222,0.9777777777777776,0.0,0.0222222222222222,-0.977777777777778
age,Gemini 2.5 Flash,81,1.0,0.074074074074074,0.925925925925926,0.0493827160493827,0.0246913580246913,-0.925925925925926
country,GPT-5.2,90,1.0,0.2555555555555555,0.7444444444444445,0.0111111111111111,,-0.7444444444444445
country,Claude Sonnet 4,87,1.0,0.2298850574712643,0.7701149425287356,0.0,,-0.7701149425287357
country,Gemini 2.5 Flash,90,1.0,0.4,0.6,0.0,,-0.6
