series,label,mean_score,ci_low,ci_high,n
HUM,HUM,0.386885153769,0.3314388276001,0.44365169769392493,1000
GPT-5.2,GPT-5.2,0.82340702259,0.7886937698627501,0.8569926571477501,1000
Claude Sonnet 4,Claude Sonnet 4,0.97501108083,0.9611718439495001,0.9866664521377501,1000
Gemini 2.5 Flash,Gemini 2.5 Flash,0.9353819417899999,0.9141441226707501,0.9548446604405001,1000
