condition_key,condition_label,condition_abbr,mean_pair_distance,sd_pair_distance,se_pair_distance,ci95_low,ci95_high,ci95_lower_delta,ci95_upper_delta,bootstrap_reps,model_key,model_label,rank_closest_to_neutral
europe_northern_america,Europe and Northern America,ENA,0.12444637715816498,0.05302152410149574,0.0009680361594564351,0.12252750726441543,0.12638719707727433,0.0019188698937495502,0.0019408199191093545,4000,claude_sonnet4,Claude Sonnet 4,1
europe_northern_america,Europe and Northern America,ENA,0.10263185948133469,0.04843759164214134,0.0008843453857874838,0.10088930177092553,0.10436436975399653,0.0017425577104091539,0.001732510272661844,4000,gemini25flash,Gemini 2.5 Flash,1
europe_northern_america,Europe and Northern America,ENA,0.1758286952972412,0.06220746412873268,0.001135747711616678,0.173619494300584,0.1780146281282107,0.0022092009966572235,0.002185932830969489,4000,gpt52,GPT-5.2,1
central_southern_asia,Central and Southern Asia,CSA,0.17533327639102936,0.06556417047977448,0.0011970325045295596,0.17301279753893614,0.17774578933219115,0.0023204788520932162,0.002412512941161793,4000,claude_sonnet4,Claude Sonnet 4,2
central_southern_asia,Central and Southern Asia,CSA,0.13052770495414734,0.05624440312385559,0.0010268776108116578,0.12862424031098685,0.1325719553341468,0.0019034646431604907,0.002044250379999474,4000,gemini25flash,Gemini 2.5 Flash,5
central_southern_asia,Central and Southern Asia,CSA,0.18367823958396912,0.0700322613120079,0.001278608309122769,0.1812144134879112,0.18621769564102092,0.002463826096057914,0.0025394560570518032,4000,gpt52,GPT-5.2,2
northern_africa_western_asia,Northern Africa and Western Asia,NAWA,0.1918615698814392,0.07126986235380173,0.0013012037093821814,0.1892434112633268,0.1943646049593886,0.002618158618112404,0.0025030350779493837,4000,claude_sonnet4,Claude Sonnet 4,4
northern_africa_western_asia,Northern Africa and Western Asia,NAWA,0.12940464913845062,0.05603812262415886,0.00102311146138308,0.12739937464594842,0.13138681260397037,0.002005274492502207,0.001982163465519743,4000,gemini25flash,Gemini 2.5 Flash,3
northern_africa_western_asia,Northern Africa and Western Asia,NAWA,0.18557122349739075,0.08093906939029694,0.0014777384696180514,0.18275664653927087,0.1885117881263296,0.0028145769581198743,0.002940564628938852,4000,gpt52,GPT-5.2,4
east_southeast_asia,Eastern and South-eastern Asia,ESEA,0.19510401785373688,0.07231355458498001,0.001320258835319156,0.19256937439789376,0.19771660694380602,0.0025346434558431163,0.002612589090069145,4000,claude_sonnet4,Claude Sonnet 4,5
east_southeast_asia,Eastern and South-eastern Asia,ESEA,0.1331321746110916,0.059278808534145355,0.001082278020539372,0.13101916140864292,0.13530530177354813,0.0021130132024486936,0.0021731271624565174,4000,gemini25flash,Gemini 2.5 Flash,6
east_southeast_asia,Eastern and South-eastern Asia,ESEA,0.19618353247642517,0.0774819552898407,0.0014146204903950827,0.19340584168036778,0.19903767013251783,0.002777690796057386,0.002854137656092659,4000,gpt52,GPT-5.2,6
sub_saharan_africa,Sub-Saharan Africa,SSA,0.1817963421344757,0.07136780768632889,0.0013029919383164303,0.1792996096506715,0.18441174613783756,0.0024967324838042204,0.002615404003361854,4000,claude_sonnet4,Claude Sonnet 4,3
sub_saharan_africa,Sub-Saharan Africa,SSA,0.13601912558078766,0.05722934752702713,0.0010448601530618417,0.13396884058415892,0.13800178582817316,0.0020502849966287373,0.001982660247385498,4000,gemini25flash,Gemini 2.5 Flash,7
sub_saharan_africa,Sub-Saharan Africa,SSA,0.21227848529815674,0.09248979389667511,0.0016886248818737532,0.20899119182626408,0.2156701394408941,0.0032872934718926605,0.0033916541427373714,4000,gpt52,GPT-5.2,7
latin_america_caribbean,Latin America and the Caribbean,LAC,0.22299540042877197,0.07613448798656464,0.0013900192158115842,0.22018628380298613,0.22559771155317623,0.00280911662578584,0.0026023111244042607,4000,claude_sonnet4,Claude Sonnet 4,6
latin_america_caribbean,Latin America and the Caribbean,LAC,0.12923282384872437,0.05792245641350746,0.0010575145321262607,0.127170207422475,0.1313116048152248,0.0020626164262493585,0.0020787809665004375,4000,gemini25flash,Gemini 2.5 Flash,2
latin_america_caribbean,Latin America and the Caribbean,LAC,0.18639369308948517,0.06415966153144836,0.0011713897967556906,0.18415837039351463,0.1887041504184405,0.002235322695970543,0.002310457328955323,4000,gpt52,GPT-5.2,5
oceania,Oceania,OCE,0.2244897484779358,0.08949960768222809,0.0016340318005139659,0.22136793608715138,0.22776599937876066,0.0031218123907844064,0.0032762509008248675,4000,claude_sonnet4,Claude Sonnet 4,7
oceania,Oceania,OCE,0.12958909571170807,0.06991659104824066,0.0012764964686995059,0.12719022249331077,0.13197854592353106,0.002398873218397296,0.002389450211822991,4000,gemini25flash,Gemini 2.5 Flash,4
oceania,Oceania,OCE,0.18469512462615967,0.05691361427307129,0.0010390956788836378,0.18262406057417394,0.18676218206634124,0.0020710640519857326,0.002067057440181569,4000,gpt52,GPT-5.2,3
