run_key,model_label,condition_key,ipi,ci_low,ci_high
micro20_gpt52,GPT-5.2,australia_new_zealand,0.28791047454118485,0.10505934561187585,0.4776565750156697
micro20_gpt52,GPT-5.2,caribbean,-0.12608326434697942,-0.7581424452876122,0.4840076901540635
micro20_gpt52,GPT-5.2,central_america,0.4399449031882205,0.17347962677031098,0.6422075123381925
micro20_gpt52,GPT-5.2,central_asia,0.42503612118360473,0.32492393129655106,0.5205237822612945
micro20_gpt52,GPT-5.2,eastern_africa,0.5302923124164152,0.2635290935916719,0.8219602247323454
micro20_gpt52,GPT-5.2,eastern_asia,0.45569255897065536,0.28594745984895464,0.6028957804079484
micro20_gpt52,GPT-5.2,eastern_europe,-1.9924932408104885,-3.4974097927605743,0.3464804294717645
micro20_gpt52,GPT-5.2,middle_africa,0.18275696992470314,0.10433555017420598,0.33013758469523946
micro20_gpt52,GPT-5.2,northern_africa,0.043234355860839485,-1.022069005030576,0.659384849328907
micro20_gpt52,GPT-5.2,northern_america,0.23240760491104068,0.09701020831874478,0.3206736358623964
micro20_gpt52,GPT-5.2,northern_europe,0.2543745014781278,0.1372940223258103,0.3322727736285225
micro20_gpt52,GPT-5.2,pacific_islands,0.21866376335009086,0.10936584507017078,0.3327425939831866
micro20_gpt52,GPT-5.2,south_america,-0.31344323124910706,-1.277477275274004,0.6533994783130148
micro20_gpt52,GPT-5.2,south_eastern_asia,0.09698330768984204,-1.1278920352226658,0.9040668627562489
micro20_gpt52,GPT-5.2,southern_africa,0.32592609521494864,0.2085208845373838,0.5057407023840599
micro20_gpt52,GPT-5.2,southern_asia,-0.18713427714975997,-1.144237342407552,0.44687150064609077
micro20_gpt52,GPT-5.2,southern_europe,-0.2520131045880588,-0.8003406630093866,0.30119863001861735
micro20_gpt52,GPT-5.2,western_africa,0.2961284652765696,-0.22679798429046719,0.5104384091830828
micro20_gpt52,GPT-5.2,western_asia,-0.09684810892591689,-0.35247365064951725,0.3113433681665545
micro20_gpt52,GPT-5.2,western_europe,0.10251661448982057,-0.08626865064362294,0.35870582788538596
micro20_claude,Claude Sonnet 4,australia_new_zealand,-0.5339402368415405,-3.419124177427984,0.19921040180427965
micro20_claude,Claude Sonnet 4,caribbean,-1.0218801344749042,-1.8695141978467,0.2637191042628425
micro20_claude,Claude Sonnet 4,central_america,0.15142874491305172,0.10617873543835374,0.8609961264625496
micro20_claude,Claude Sonnet 4,central_asia,0.28997688902211416,0.10998640903918887,0.4591812516249209
micro20_claude,Claude Sonnet 4,eastern_africa,0.10864583292714294,-0.1603930728369438,0.2970901547290355
micro20_claude,Claude Sonnet 4,eastern_asia,0.2902446297792739,0.11048649018589851,0.4440805976526803
micro20_claude,Claude Sonnet 4,eastern_europe,0.21310139472660716,0.10612347312467926,0.2884680743695934
micro20_claude,Claude Sonnet 4,middle_africa,0.10625017329570692,-0.26402027938455525,0.19749627477539797
micro20_claude,Claude Sonnet 4,northern_africa,0.24474904137815398,0.1545625247845984,0.37167604665671333
micro20_claude,Claude Sonnet 4,northern_america,0.2855910750329238,0.10598637768834338,0.43873028066236125
micro20_claude,Claude Sonnet 4,northern_europe,0.17668952041795663,0.1055994930622253,0.2369610161829056
micro20_claude,Claude Sonnet 4,pacific_islands,0.15071657588180087,0.10566741163394242,0.21483355511814164
