run_key,model_label,condition_key,ipi,ci_low,ci_high
macro5_gpt52,GPT-5.2,africa,0.04517365909157479,-0.3951399387723109,0.3345480900724772
macro5_gpt52,GPT-5.2,asia,0.28354069921252034,-0.08198413942278215,0.5955340391262847
macro5_gpt52,GPT-5.2,europe_northern_america,0.25450468390786335,0.00444468505744591,0.4811014639726354
macro5_gpt52,GPT-5.2,latin_america_caribbean,-0.16235894081851301,-0.8008687600661305,0.3614735016749504
macro5_gpt52,GPT-5.2,oceania,0.18132749814416443,-0.09970864789355953,0.34853895640697596
macro5_claude,Claude Sonnet 4,africa,0.2259842403335598,0.11444289407497438,0.3238268658823089
macro5_claude,Claude Sonnet 4,asia,0.32623040968586164,0.1604311479995335,0.44275278260975987
macro5_claude,Claude Sonnet 4,europe_northern_america,0.2443753400587534,0.12461851873692202,0.35736138924932903
macro5_claude,Claude Sonnet 4,latin_america_caribbean,-0.30490107797184124,-0.5483305849580896,0.3776807927609779
macro5_claude,Claude Sonnet 4,oceania,-0.7066747015280624,-1.2504149100352135,0.39077242759496245
macro5_gemini,Gemini 2.5 Flash,africa,0.23634122885510078,0.12908149915392847,0.328212530620767
macro5_gemini,Gemini 2.5 Flash,asia,0.08346751998753262,-0.098701908920264,0.2813122641652952
macro5_gemini,Gemini 2.5 Flash,europe_northern_america,0.0016413438755735867,-0.1850921035258357,0.2506198274532092
macro5_gemini,Gemini 2.5 Flash,latin_america_caribbean,0.25111725540396357,-0.02569940996337626,0.39561266957563146
macro5_gemini,Gemini 2.5 Flash,oceania,0.17704795862519168,-0.30296976527022146,0.4477155556331787
