dimension,condition_key,condition_label,mean_delta,ci_low,ci_high,p_value,sig_p05,n_images,model_label
safe,sub_saharan_africa,SSA,2.4332827899924183,2.258150113722517,2.603876042456406,0.0003332222592469177,True,2638,GPT-5.2
safe,northern_africa_western_asia,NAWA,1.6715481171548117,1.5055613668061367,1.8284605997210601,0.0003332222592469177,True,2868,GPT-5.2
safe,central_southern_asia,CSA,2.4110885733603786,2.2545469912102774,2.5720165652467886,0.0003332222592469177,True,2958,GPT-5.2
safe,east_southeast_asia,ESEA,1.245466756212223,1.0883143049026192,1.4066487575554063,0.0003332222592469177,True,2978,GPT-5.2
safe,oceania,OCE,1.3578104138851803,1.1972546728971962,1.5180407209612818,0.0003332222592469177,True,2996,GPT-5.2
safe,latin_america_caribbean,LAC,-0.5597989949748744,-0.7316582914572864,-0.40200167504187606,0.0003332222592469177,True,2985,GPT-5.2
safe,europe_northern_america,ENA,-0.21175684702738812,-0.37341349365397464,-0.05206245824983284,0.010329890036654448,True,2994,GPT-5.2
lively,sub_saharan_africa,SSA,0.574677786201668,0.43478961334344196,0.7130496588324489,0.0003332222592469177,True,2638,GPT-5.2
lively,northern_africa_western_asia,NAWA,0.7447698744769874,0.6164487447698745,0.8786698047419804,0.0003332222592469177,True,2868,GPT-5.2
lively,central_southern_asia,CSA,1.2133198106828937,1.0895622041920217,1.3336713995943206,0.0003332222592469177,True,2958,GPT-5.2
lively,east_southeast_asia,ESEA,0.4432505036937542,0.31093015446608463,0.5728760913364674,0.0003332222592469177,True,2978,GPT-5.2
lively,oceania,OCE,0.7837116154873164,0.6571929238985313,0.9102219626168225,0.0003332222592469177,True,2996,GPT-5.2
lively,latin_america_caribbean,LAC,-0.04589614740368509,-0.17421273031825796,0.08577051926298161,0.48483838720426525,False,2985,GPT-5.2
lively,europe_northern_america,ENA,0.26887107548430195,0.1455995323981296,0.3894539078156313,0.0003332222592469177,True,2994,GPT-5.2
wealthy,sub_saharan_africa,SSA,4.863912054586808,4.637187263078089,5.086467020470053,0.0003332222592469177,True,2638,GPT-5.2
wealthy,northern_africa_western_asia,NAWA,1.292189679218968,1.1324703626220363,1.4567904463040446,0.0003332222592469177,True,2868,GPT-5.2
wealthy,central_southern_asia,CSA,3.0916159567275185,2.9154580797836376,3.2589925625422587,0.0003332222592469177,True,2958,GPT-5.2
wealthy,east_southeast_asia,ESEA,1.2384150436534587,1.0859217595701813,1.3912021490933513,0.0003332222592469177,True,2978,GPT-5.2
wealthy,oceania,OCE,1.2062750333778371,1.0537049399198932,1.3481391855807745,0.0003332222592469177,True,2996,GPT-5.2
wealthy,latin_america_caribbean,LAC,0.9721943048576215,0.797286432160804,1.1521021775544389,0.0003332222592469177,True,2985,GPT-5.2
wealthy,europe_northern_america,ENA,-0.014362057448229793,-0.1730126920507682,0.13160487641950572,0.8620459846717761,False,2994,GPT-5.2
beautiful,sub_saharan_africa,SSA,2.1959818043972708,2.007202426080364,2.393915845337377,0.0003332222592469177,True,2638,GPT-5.2
beautiful,northern_africa_western_asia,NAWA,0.6464435146443515,0.4571129707112971,0.82846059972106,0.0003332222592469177,True,2868,GPT-5.2
beautiful,central_southern_asia,CSA,1.5354969574036512,1.358003718728871,1.7106237322515212,0.0003332222592469177,True,2958,GPT-5.2
beautiful,east_southeast_asia,ESEA,0.3337810611148422,0.1510913364674278,0.5228844862323709,0.0003332222592469177,True,2978,GPT-5.2
beautiful,oceania,OCE,0.9455941255006676,0.7683411214953271,1.1241738985313752,0.0003332222592469177,True,2996,GPT-5.2
beautiful,latin_america_caribbean,LAC,0.02680067001675042,-0.14776381909547737,0.20301507537688443,0.7647450849716761,False,2985,GPT-5.2
