model_label,significant_effects,mean_abs_delta,max_abs_delta
Claude Sonnet 4,39,2.2521564764349398,7.840946982327442
GPT-5.2,36,1.0055425990077371,4.863912054586808
Gemini 2.5 Flash,39,2.0865555555555555,7.946666666666666
