axis,model,n,spearman_rho,beta
gender,GPT-5.2,242,0.16000550819057743,0.45824576289082797
gender,Claude Sonnet 4,222,0.1940597143717933,0.5380333302150897
gender,Gemini 2.5 Flash,242,0.20132765877061598,0.5500030774976383
age,GPT-5.2,246,0.07561974950468556,0.17992355666588142
age,Claude Sonnet 4,246,0.11058318560066137,0.26289399010567327
age,Gemini 2.5 Flash,246,0.014919481256283493,0.04539043897825734
country,GPT-5.2,480,0.09712897059085221,0.13623135300317027
country,Claude Sonnet 4,460,0.062112550192055825,0.08852653816371309
country,Gemini 2.5 Flash,480,-0.005441172468988006,0.00631644250084255
