set_key,value,ci_low,ci_high,label,color
HUM,0.6857598627885971,0.6746229836815337,0.6966696777187802,HUM,#2F2F2F
GPT-5.2::NEU,0.3916872954487145,0.38562780108794253,0.39735401253428565,GPT-5.2,#4D80BC
Claude Sonnet 4::NEU,0.3560301719071159,0.3497497763395569,0.36124871256969626,Claude,#76789B
Gemini 2.5 Flash::NEU,0.3369381088529881,0.3311170173938057,0.34220733359940003,Gemini,#C9758E
