image_nation	model_label	llm_ipi	human_ipi	diff_llm_minus_human	ci_low	ci_high	n_boot_ok	p_two_sided	significant_diff
England	GPT-5.2	-0.1698191799335693	-0.3997740857151428	0.2299549057815734	-0.1388888630042742	0.557327236537865	4000	0.219	False
Scotland	GPT-5.2	0.0052540004952201	-0.2557999283196661	0.2610539288148863	-0.2217045194181514	0.6946066069940108	4000	0.279	False
Wales	GPT-5.2	0.1575233915121143	-0.0620285466721369	0.2195519381842513	-0.5703568903613013	1.0396839551652624	4000	0.6115	False
England	Claude Sonnet 4	-0.0510996890847149	-0.3997740857151428	0.3486743966304279	-0.0581120459884884	0.7018228549655967	4000	0.0945	False
Scotland	Claude Sonnet 4	0.1544926870511327	-0.2557999283196661	0.4102926153707989	-0.0715506396260425	0.8066312595238392	4000	0.0945	False
Wales	Claude Sonnet 4	0.3009308592364969	-0.0620285466721369	0.3629594059086338	-0.4665524403257487	1.2237689145155115	4000	0.4	False
England	Gemini 2.5 Flash	-0.0438176589578166	-0.3997740857151428	0.3559564267573261	-0.0393384540127911	0.7046409891317501	4000	0.0765	False
Scotland	Gemini 2.5 Flash	0.0851818094946638	-0.2557999283196661	0.3409817378143299	-0.1475610409112412	0.7618985441169127	4000	0.1605	False
Wales	Gemini 2.5 Flash	0.0138885659480745	-0.0620285466721369	0.0759171126202115	-0.7755482776612106	0.9409146763569248	4000	0.849	False
